sample_id,bam_filename,sample_type
F2,/tau/data/chimerism/SRP434573/bam/SRR24309258.hg38.bam,HOST
M2,/tau/data/chimerism/SRP434573/bam/SRR24309254.hg38.bam,DONOR
1_199_F2-M2_v1,/tau/data/chimerism/SRP434573/bam/SRR24309242.hg38.bam,ADMIX
1_99_F2-M2_v1,/tau/data/chimerism/SRP434573/bam/SRR24309247.hg38.bam,ADMIX
1_79_F2-M2_v1,/tau/data/chimerism/SRP434573/bam/SRR24309250.hg38.bam,ADMIX
1_39_F2-M2_v1,/tau/data/chimerism/SRP434573/bam/SRR24309253.hg38.bam,ADMIX
1_19_F2-M2_v1,/tau/data/chimerism/SRP434573/bam/SRR24309178.hg38.bam,ADMIX
1_9_F2-M2_v1,/tau/data/chimerism/SRP434573/bam/SRR24309211.hg38.bam,ADMIX
100_0_F2-M2,/tau/data/chimerism/SRP434573/bam/SRR24309258.hg38.bam,ADMIX
0_100_F2-M2,/tau/data/chimerism/SRP434573/bam/SRR24309254.hg38.bam,ADMIX
